,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
0,1,1.465752908669514e+18,Ölanda 5:23,"Ölanda, Ale kommun",Ale,6 december 2022,2022-12-06,800000,950000.0,Plot of land,Ownership,0.0,0.0,0.0,1535,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-0rum-olanda-ale-kommun-olanda-5-23-1465752908669514072
1,2,3.688282288400304e+18,,"Ale, Ale kommun",Ale,4 augusti 2022,2022-08-04,900000,900000.0,Plot of land,Ownership,0.0,0.0,0.0,2000,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-ale-ale-kommun-3688282288400303613
2,3,6.128210270813532e+18,Del av ALE SANNUM 1:22,"Nol, Ale kommun",Ale,6 juli 2022,2022-07-06,900000,900000.0,Plot of land,Ownership,0.0,0.0,0.0,2000,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-nol-ale-kommun-del-av-ale-sannum-1-22-6128210270813532666
3,4,2.327970822633508e+18,Skår Övre 270,"Skepplanda, Ale kommun",Ale,30 juni 2022,2022-06-30,415000,495000.0,Plot of land,Ownership,0.0,0.0,0.0,1028,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-skepplanda-ale-kommun-skar-ovre-270-2327970822633507927
4,5,9.008858788668006e+18,Starrkärrs-hult 1:29,"Sannum, Ale kommun",Ale,6 maj 2022,2022-05-06,860000,850000.0,Plot of land,Ownership,0.0,0.0,0.0,9831,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-sannum-ale-kommun-starrkarrs-hult-1-29-9008858788668006746
5,6,7.701530784573227e+18,Älebräckevägen 33,"Älvängen, Ale kommun",Ale,3 maj 2022,2022-05-03,2100000,2185000.0,Plot of land,Ownership,0.0,0.0,0.0,5394,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-alvangen-ale-kommun-alebrackevagen-33-7701530784573226747
6,7,6.872460403280912e+18,Ale Relsbo 1:20,"Nödinge, Ale kommun",Ale,29 april 2022,2022-04-29,1025000,1200000.0,Plot of land,Ownership,0.0,0.0,0.0,1252,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-nodinge-ale-kommun-ale-relsbo-1-20-6872460403280911923
7,8,4.81333441997477e+18,Alvhem 2:116,"Alvhem, Ale kommun",Ale,13 april 2022,2022-04-13,975000,975000.0,Plot of land,Ownership,0.0,0.0,0.0,5700,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-alvhem-ale-kommun-alvhem-2-116-4813334419974769169
8,9,7.86197890391362e+18,Länsmansvägen 38,"Älvängen, Ale kommun",Ale,22 mars 2022,2022-03-22,2210000,2195000.0,Plot of land,Ownership,0.0,0.0,0.0,840,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-alvangen-ale-kommun-lansmansvagen-38-7861978903913621508
9,10,1.496498990872405e+17,Alvhem 2:117,"Alvhem, Ale kommun",Ale,16 februari 2022,2022-02-16,1000000,975000.0,Plot of land,Ownership,0.0,0.0,0.0,7100,0,0,0,0,0,0,,,https://www.hemnet.se/salda/tomt-alvhem-ale-kommun-alvhem-2-117-149649899087240504
